,year,type,stage
875,1959,p0,2
876,1959,p0,3
877,1959,p0,4
878,1959,p0,5
879,1959,p0,6
880,1959,p0,7
881,1959,p0,8
882,1959,p0,9
883,1959,p0,10
884,1959,p0,11
885,1959,p0,12
886,1959,p0,13
887,1959,p0,14
888,1959,p0,15
889,1959,p0,16
890,1959,p0,17
891,1959,p0,18
892,1959,p0,19
893,1959,p0,20
894,1959,p0,21
895,1959,p0,22
896,1960,p0,1
897,1960,p0,2
898,1960,p0,3
899,1960,p0,4
900,1960,p0,5
901,1960,p0,6
902,1960,p0,7
903,1960,p0,8
904,1960,p0,9
905,1960,p0,10
906,1960,p0,11
907,1960,p0,12
908,1960,p0,13
909,1960,p0,14
910,1960,p0,15
911,1960,p0,16
912,1960,p0,17
913,1960,p0,18
914,1960,p0,19
915,1960,p0,20
916,1960,p0,21
917,1960,p0,22
918,1961,p0,1
919,1961,p0,2
920,1961,p0,3
921,1961,p0,4
922,1961,p0,5
923,1961,p0,6
924,1961,p0,7
925,1961,p0,8
926,1961,p0,9
927,1961,p0,10
928,1961,p0,11
929,1961,p0,12
930,1961,p0,13
931,1961,p0,14
932,1961,p0,15
933,1961,p0,16
934,1961,p0,17
935,1961,p0,18
936,1961,p0,19
937,1961,p0,20
938,1961,p0,21
939,1961,p0,22
940,1962,p0,1
941,1962,p0,2
942,1962,p0,3
943,1962,p0,4
944,1962,p0,5
945,1962,p0,6
946,1962,p0,7
947,1962,p0,8
948,1962,p0,9
949,1962,p0,10
950,1962,p0,11
951,1962,p0,12
952,1962,p0,13
953,1962,p0,14
954,1962,p0,15
955,1962,p0,16
956,1962,p0,17
957,1962,p0,18
958,1962,p0,19
959,1962,p0,20
960,1962,p0,21
961,1962,p0,22
962,1962,p0,23
963,1962,p0,24
964,1963,p0,1
965,1963,p0,2
966,1963,p0,3
967,1963,p0,4
968,1963,p0,5
969,1963,p0,6
970,1963,p0,7
971,1963,p0,8
972,1963,p0,9
973,1963,p0,10
974,1963,p0,11
975,1963,p0,12
976,1963,p0,13
977,1963,p0,14
978,1963,p0,15
979,1963,p0,16
980,1963,p0,17
981,1963,p0,18
982,1963,p0,19
983,1963,p0,20
984,1963,p0,21
985,1963,p0,22
986,1963,p0,23
987,1964,p0,1
988,1964,p0,2
989,1964,p0,3
990,1964,p0,4
991,1964,p0,5
992,1964,p0,6
993,1964,p0,7
994,1964,p0,8
995,1964,p0,9
996,1964,p0,10
997,1964,p0,11
998,1964,p0,12
999,1964,p0,13
1000,1964,p0,14
1001,1964,p0,15
1002,1964,p0,16
1003,1964,p0,17
1004,1964,p0,18
1005,1964,p0,19
1006,1964,p0,20
1007,1964,p0,21
1008,1964,p0,22
1009,1964,p0,23
1010,1964,p0,24
1011,1964,p0,25
1012,1965,p0,1
1013,1965,p0,2
1014,1965,p0,3
1015,1965,p0,4
1016,1965,p0,5
1017,1965,p0,6
1018,1965,p0,7
1019,1965,p0,8
1020,1965,p0,9
1021,1965,p0,10
1022,1965,p0,11
1023,1965,p0,12
1024,1965,p0,13
1025,1965,p0,14
1026,1965,p0,15
1027,1965,p0,16
1028,1965,p0,17
1029,1965,p0,18
1030,1965,p0,19
1031,1965,p0,20
1032,1965,p0,21
1033,1965,p0,22
1034,1965,p0,23
1035,1965,p0,24
1036,1966,p0,1
1037,1966,p0,2
1038,1966,p0,3
1039,1966,p0,4
1040,1966,p0,5
1041,1966,p0,6
1042,1966,p0,7
1043,1966,p0,8
1044,1966,p0,9
1045,1966,p0,10
1046,1966,p0,11
1047,1966,p0,12
1048,1966,p0,13
1049,1966,p0,14
1050,1966,p0,15
1051,1966,p0,16
1052,1966,p0,17
1053,1966,p0,18
1054,1966,p0,19
1055,1966,p0,20
1056,1966,p0,21
1057,1966,p0,22
1058,1966,p0,23
1059,1966,p0,24
1060,1966,p0,25
1061,1967,p0,1
1062,1967,p0,2
1063,1967,p0,3
1064,1967,p0,4
1065,1967,p0,5
1066,1967,p0,6
1067,1967,p0,7
1068,1967,p0,8
1069,1967,p0,9
1070,1967,p0,10
1071,1967,p0,11
1072,1967,p0,12
1073,1967,p0,13
1074,1967,p0,14
1075,1967,p0,15
1076,1967,p0,16
1077,1967,p0,17
1078,1967,p0,18
1079,1967,p0,19
1080,1967,p0,20
1081,1967,p0,21
1082,1967,p0,22
1083,1967,p0,23
1084,1967,p0,24
1085,1967,p0,25
1086,1968,p0,1
1087,1968,p0,2
1088,1968,p0,3
1089,1968,p0,4
1090,1968,p0,5
1091,1968,p0,6
1092,1968,p0,7
1093,1968,p0,8
1094,1968,p0,9
1095,1968,p0,10
1096,1968,p0,11
1097,1968,p0,12
1098,1968,p0,13
1099,1968,p0,14
1100,1968,p0,15
1101,1968,p0,16
1102,1968,p0,17
1103,1968,p0,18
1104,1968,p0,19
1105,1968,p0,20
1106,1968,p0,21
1107,1968,p0,22
1108,1968,p0,23
1109,1968,p0,24
1110,1968,p0,25
1111,1968,p0,26
1112,1969,p0,1
1113,1969,p0,2
1114,1969,p0,3
1115,1969,p0,4
1116,1969,p0,5
1117,1969,p0,6
1118,1969,p0,7
1119,1969,p0,8
1120,1969,p0,9
1121,1969,p0,10
1122,1969,p0,11
1123,1969,p0,12
1124,1969,p0,13
1125,1969,p0,14
1126,1969,p0,15
1127,1969,p0,16
1128,1969,p0,17
1129,1969,p0,18
1130,1969,p0,19
1131,1969,p0,20
1132,1969,p0,21
1133,1969,p0,22
1134,1969,p0,23
1135,1969,p0,24
1136,1969,p0,25
1137,1969,p0,26
1138,1970,p0,1
1139,1970,p0,2
